epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,1817.28,1.04602,0.73747,1.15072,0.80921,0.82339,0.8726,0.55875,1.151,0.72614,1.28174,0.0081586,0.0081586,0.0081586
95,1837.43,1.0441,0.73518,1.15091,0.83928,0.77659,0.86473,0.56391,1.1643,0.74069,1.29291,0.0081388,0.0081388,0.0081388
96,1858.38,1.08202,0.75122,1.1617,0.79417,0.77128,0.83196,0.53844,1.2129,0.79288,1.32544,0.008119,0.008119,0.008119
97,1879.44,1.04569,0.73596,1.15484,0.85371,0.7664,0.87219,0.56784,1.15845,0.74475,1.28655,0.0080992,0.0080992,0.0080992
98,1900.46,1.01179,0.71757,1.14338,0.83734,0.80276,0.87988,0.56118,1.14414,0.7324,1.25994,0.0080794,0.0080794,0.0080794
99,1921.28,1.03902,0.73605,1.13561,0.78968,0.77907,0.85505,0.54883,1.1412,0.7618,1.2972,0.0080596,0.0080596,0.0080596
100,1942.22,1.03747,0.73312,1.14728,0.82752,0.77008,0.86381,0.5403,1.21873,0.7542,1.32224,0.0080398,0.0080398,0.0080398
101,1962.85,1.03923,0.72471,1.14026,0.87095,0.75878,0.87022,0.55048,1.194,0.72996,1.30171,0.00802,0.00802,0.00802
102,1984.92,1.02949,0.73351,1.15094,0.80863,0.81574,0.85161,0.54136,1.19664,0.75435,1.31569,0.0080002,0.0080002,0.0080002
103,2005.49,1.01748,0.71039,1.13682,0.81484,0.79469,0.86629,0.55189,1.13828,0.74256,1.28405,0.0079804,0.0079804,0.0079804
104,2026.04,1.02032,0.72595,1.14504,0.80586,0.80316,0.85061,0.54464,1.17356,0.76326,1.2984,0.0079606,0.0079606,0.0079606
105,2046.01,1.03461,0.72363,1.14117,0.84667,0.75605,0.86138,0.54315,1.16656,0.74353,1.29957,0.0079408,0.0079408,0.0079408
106,2066.51,1.02476,0.71241,1.1478,0.87312,0.78821,0.88331,0.56768,1.15888,0.71198,1.30754,0.007921,0.007921,0.007921
107,2086.51,1.03147,0.70514,1.14855,0.83314,0.79959,0.86887,0.5649,1.16065,0.74093,1.28846,0.0079012,0.0079012,0.0079012
108,2106.57,0.99971,0.70594,1.14423,0.84555,0.76585,0.86774,0.54876,1.17147,0.73793,1.30096,0.0078814,0.0078814,0.0078814
109,2126.78,1.00121,0.69451,1.14262,0.83806,0.80039,0.87824,0.56096,1.18064,0.70793,1.30381,0.0078616,0.0078616,0.0078616
110,2147.6,1.01086,0.71744,1.13373,0.80965,0.82546,0.88979,0.56725,1.15702,0.70302,1.29925,0.0078418,0.0078418,0.0078418
111,2167.56,1.02063,0.70977,1.14133,0.85531,0.8011,0.88057,0.58234,1.16334,0.71155,1.28366,0.007822,0.007822,0.007822
112,2188.03,1.00603,0.69254,1.13461,0.85258,0.79232,0.87404,0.56382,1.13943,0.71107,1.28314,0.0078022,0.0078022,0.0078022
